,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
badgalriri,0.029183587,0.09415566,0.07512351,0.048991665,0.13151164,0.102061465,0.30456653,0.03844971,0.06200831,0.11394791
barackobama,0.024600418,0.10260568,0.06691603,0.043903332,0.19617008,0.090235606,0.23783682,0.06322046,0.034545206,0.13996634
beyonce,0.031548742,0.1017862,0.081211686,0.052962076,0.14216952,0.0941003,0.28065008,0.041565802,0.05082317,0.12318242
blakelively,0.026407553,0.098788284,0.06797914,0.04433225,0.1460919,0.09235431,0.31645107,0.048372794,0.042541534,0.11668113
bretmanrock,0.029994743,0.0967676,0.07720824,0.06578415,0.1535355,0.08946096,0.2668742,0.03951779,0.04831878,0.13253799
champagnepapi,0.030557843,0.09858994,0.07866135,0.051298566,0.13770601,0.10686986,0.27192006,0.040260386,0.049227,0.13490897
chrisbrownofficial,0.029625084,0.09558056,0.0915042,0.06497257,0.13350178,0.08836321,0.27878198,0.039031424,0.06296586,0.11567331
daquan,0.03055673,0.09858866,0.07866009,0.051297776,0.13770409,0.09114401,0.2718371,0.040259186,0.0492257,0.15072668
daviddobrik,0.041137144,0.101915464,0.08434713,0.07372452,0.12250943,0.09556666,0.2806382,0.035788823,0.043759685,0.12061294
ddlovato,0.031045828,0.100166686,0.07991914,0.05211886,0.13990821,0.09260287,0.2920983,0.040903583,0.050013617,0.12122292
ethandolan,0.030557176,0.11429732,0.07865929,0.051297527,0.13770133,0.106861435,0.27182966,0.040259417,0.049225833,0.11931096
fuckjerry,0.031086288,0.10251233,0.08218888,0.05218994,0.14112319,0.093506806,0.28027937,0.040963348,0.050085112,0.12606472
iamcardib,0.042912483,0.091422565,0.07294255,0.04756911,0.1568538,0.11344767,0.2666579,0.051905643,0.045647655,0.110640675
jamescharles,0.03055606,0.09858649,0.078658365,0.05129665,0.13770106,0.091142006,0.28755346,0.0402583,0.04922462,0.13502301
jlo,0.0406958,0.090186305,0.07408114,0.04504955,0.16869761,0.09524538,0.29339924,0.03602046,0.04351355,0.113111
joannagaines,0.030278161,0.11480565,0.079081535,0.050831877,0.1373706,0.09055563,0.28819373,0.0399239,0.04879571,0.1201632
justinbieber,0.046279106,0.09858559,0.078658015,0.051296696,0.1376991,0.09114136,0.27182528,0.040258765,0.04922504,0.13503103
justintimberlake,0.028332222,0.09140887,0.072932,0.06207372,0.12767506,0.12821604,0.2666146,0.037328064,0.04564169,0.1397778
kendalljenner,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
kevinhart4real,0.028320616,0.10797914,0.0758706,0.07699103,0.13001758,0.08697552,0.2753224,0.038888503,0.045970194,0.13366441
khloekardashian,0.028762018,0.10759174,0.074040025,0.063083075,0.1444135,0.0857907,0.28498766,0.05269146,0.04633447,0.11230534
kimkardashian,0.031043844,0.10016029,0.07991404,0.05211553,0.13989928,0.09259696,0.2921435,0.040900968,0.050010424,0.12121519
kingjames,0.04614249,0.07336212,0.09598645,0.038171243,0.20068857,0.0680074,0.27795672,0.029959623,0.0366301,0.13309528
kourtneykardash,0.03055578,0.0985856,0.07865765,0.051296182,0.13769981,0.09114117,0.27182865,0.04025793,0.080667734,0.11930947
kyliejenner,0.026776642,0.14269668,0.08224721,0.05872842,0.15043642,0.09501367,0.24504906,0.035282556,0.057213344,0.106556036
liluzivert,0.03154875,0.101786196,0.08121169,0.05296208,0.14216952,0.094100304,0.28065002,0.041565817,0.050823182,0.12318242
lizakoshy,0.030085074,0.09706405,0.07744404,0.050504994,0.13557391,0.10521394,0.2985436,0.039637424,0.048465308,0.11746766
michelleobama,0.025712313,0.096199095,0.07942203,0.056386303,0.13657914,0.08992376,0.25795016,0.047097992,0.041421525,0.16930765
mileycyrus,0.060109414,0.09558043,0.07625994,0.04973253,0.13350233,0.11884581,0.26354256,0.039030757,0.047723677,0.11567257
nickiminaj,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
obj,0.04832334,0.11195901,0.076443754,0.049745437,0.13826239,0.09148738,0.28012243,0.03909461,0.04773624,0.11682548
postmalone,0.03154876,0.10178621,0.0812117,0.052962087,0.14216952,0.094100304,0.28065002,0.04156582,0.050823193,0.12318242
prattprattpratt,0.018260749,0.12329931,0.06506636,0.08842533,0.12332248,0.07325167,0.18518122,0.054267704,0.05666645,0.2122587
selenagomez,0.018779054,0.11074307,0.058647864,0.05110913,0.13538314,0.075730875,0.2671513,0.024916895,0.05927985,0.19825882
shanedawson,0.041107066,0.11550288,0.06987011,0.045565434,0.13627982,0.08095899,0.31128612,0.035760365,0.043724906,0.11994428
shawnmendes,0.02918237,0.09623875,0.07630301,0.06399821,0.14984442,0.08763045,0.29481694,0.038448613,0.047011785,0.1165255
sommerray,0.02874888,0.107545055,0.07400451,0.06305281,0.12955269,0.08574933,0.31490633,0.037876982,0.0463128,0.11225059
stephencurry30,0.022706762,0.14334685,0.0701311,0.04978963,0.11400196,0.114437446,0.24871165,0.041577876,0.048243787,0.14705293
theellenshow,0.030555772,0.09858557,0.07865763,0.05129617,0.1534218,0.10686295,0.2718286,0.040257923,0.049224157,0.11930944
therock,0.03178558,0.089311816,0.0756262,0.05682826,0.11618121,0.09499775,0.2839126,0.049250457,0.06620013,0.13590598
vancityreynolds,0.030083464,0.0970617,0.092906885,0.050503273,0.13557132,0.08973236,0.28310594,0.039635647,0.04846329,0.13293618
wherearetheavocados,0.029627837,0.11075258,0.09151041,0.049737,0.13351186,0.08837024,0.27880216,0.039034892,0.04772866,0.13092431
willsmith,0.030737864,0.102578856,0.08127384,0.051489297,0.1436895,0.09477591,0.28121176,0.040461775,0.049963612,0.12381758
world_record_egg,0.03843066,0.081867196,0.07837434,0.09481145,0.12739834,0.10179293,0.26477847,0.046486504,0.04087722,0.12518291
zacefron,0.02752665,0.11713655,0.07085996,0.046210963,0.124049015,0.11043284,0.28736976,0.036266983,0.05850483,0.121642485
zendaya,0.030555803,0.09858567,0.07865771,0.051296223,0.13769992,0.106863216,0.2875497,0.040257964,0.04922421,0.11930956
