,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
dannyduncan69,0.030608797,0.09875633,0.078793906,0.051385075,0.15368697,0.091299035,0.28631657,0.040327746,0.049309514,0.119516045
dearra,0.028329585,0.09140296,0.08748982,0.04755891,0.12766744,0.099070996,0.29574785,0.037324872,0.060214028,0.1251935
demirosemawby,0.042290352,0.10672692,0.07427712,0.061278313,0.1262345,0.083576456,0.3125415,0.036810894,0.045009345,0.11125461
djpaulyd,0.028799519,0.09290849,0.074129485,0.04834414,0.14458242,0.08589345,0.32856968,0.037942722,0.046392765,0.11243733
drayamichele,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
elliethumann,0.027585944,0.10522202,0.107210904,0.046309736,0.15275513,0.11068035,0.2614742,0.036345556,0.04444076,0.10797541
emmaroberts,0.042306673,0.09064025,0.09056306,0.046893675,0.14048938,0.08409935,0.3063013,0.03680315,0.04499981,0.1169034
emrata,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
enews,0.029625567,0.11081904,0.07626119,0.049733642,0.1335032,0.08836415,0.26354235,0.054271862,0.062966995,0.13091199
enikohart,0.025694506,0.13579226,0.066178285,0.043135807,0.11579355,0.07666187,0.34791964,0.03385364,0.04139255,0.11357794
ernst,0.02874935,0.12233625,0.07400575,0.06305392,0.12955491,0.100541845,0.2853143,0.037877604,0.04631357,0.11225251
forever21,0.029180525,0.10915979,0.07511565,0.04898653,0.13149787,0.08703681,0.2896106,0.053454883,0.047008153,0.1289492
gabi,0.03008316,0.097060725,0.077441014,0.050502762,0.1510371,0.089731455,0.29858166,0.039635245,0.048462797,0.11746406
gianna,0.029628413,0.11070403,0.09151046,0.04973934,0.13352059,0.088375024,0.29406744,0.039036106,0.04773022,0.1156884
gigihadid,0.031043833,0.100160256,0.07991401,0.05211551,0.13989922,0.092596926,0.29214373,0.040900953,0.050010405,0.12121514
gisele,0.039630897,0.11153506,0.07111801,0.05739097,0.1537114,0.079761535,0.25509453,0.03449064,0.04216926,0.15509766
gucci,0.030556884,0.11427523,0.07866049,0.051298037,0.13770477,0.091144465,0.287561,0.040259387,0.04922595,0.11931378
haileybieber,0.030084766,0.112542175,0.0858188,0.050504535,0.13713193,0.08973921,0.2864441,0.039638914,0.048469204,0.119626395
hannahstocking,0.030083654,0.09706232,0.09291615,0.06597956,0.13557217,0.1051922,0.26762852,0.039635897,0.04846359,0.11746598
hardstop.lucas,0.027923804,0.104418285,0.10060747,0.061242547,0.12583879,0.083290555,0.2771451,0.05115299,0.044984154,0.123396374
hennessycarolina,0.026408961,0.0851952,0.067977525,0.057915386,0.11899577,0.105923675,0.34355873,0.03479149,0.056129612,0.103103705
hilaryduff,0.031046655,0.10016635,0.079919256,0.052119218,0.13990702,0.09260276,0.27618378,0.040904306,0.050014347,0.13713631
himynamesteee,0.030561503,0.09859822,0.07866847,0.05130379,0.13771604,0.10536771,0.28758076,0.040264755,0.04923222,0.12070655
iamerica_mena,0.04420048,0.10946086,0.07513671,0.048989706,0.13149764,0.102911346,0.27507883,0.0384501,0.047012843,0.12726152
iamyanetgarcia,0.030590516,0.09867712,0.07903846,0.051347435,0.14145021,0.094317414,0.2723642,0.04030134,0.049275987,0.14263731
iisuperwomanii,0.031043967,0.10016069,0.09588338,0.05211574,0.13989983,0.09259733,0.27617165,0.040901132,0.05001062,0.121215664
inayah_lamis,0.031046664,0.10016337,0.07991727,0.0521182,0.15584643,0.092600204,0.27617213,0.040903945,0.05001376,0.12121803
jailyneojeda,0.04625465,0.09858792,0.078659505,0.0512974,0.13770306,0.091143325,0.28755763,0.04025889,0.049225338,0.11931229
janetjackson,0.030083774,0.11254185,0.077442594,0.06598203,0.1355727,0.08973328,0.26762962,0.039636053,0.048463788,0.13291427
jayalvarrez,0.019515906,0.07300515,0.050236855,0.062882714,0.18832856,0.08833248,0.31416947,0.035745576,0.061559934,0.10622332
jccaylen,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
jeezy,0.02962473,0.11200153,0.07633281,0.04973316,0.13350403,0.08836405,0.2635459,0.05268042,0.047724284,0.14648905
jenafrumes,0.026411265,0.112385094,0.08157383,0.08509953,0.11901883,0.07877706,0.26193556,0.048374183,0.04254709,0.14387757
jenselter,0.026143352,0.117754914,0.07108912,0.04674153,0.15773405,0.086957894,0.31344685,0.022745736,0.081099115,0.076287426
jen_ny69,0.030631874,0.11211749,0.07885323,0.05142377,0.15379128,0.09136776,0.27250382,0.040358134,0.049346667,0.119605966
jeremyallenwhitefinally,0.04111505,0.10155837,0.08384951,0.045574915,0.13630916,0.08097582,0.28340772,0.03576781,0.043734007,0.14770764
jessicabiel,0.038913053,0.10939645,0.07940164,0.043156534,0.11584968,0.10313074,0.28160414,0.03386983,0.054634754,0.14004321
jessicakes33,0.029182395,0.09415168,0.09010252,0.06399912,0.13150607,0.13205594,0.25959992,0.038448103,0.04701112,0.11394309
jessicanigri,0.026434904,0.09887814,0.068041645,0.08515583,0.11910981,0.07883944,0.31673655,0.047416333,0.056184374,0.10320302
jessicasimpson,0.037935853,0.11943114,0.06447269,0.05493288,0.12574835,0.08759036,0.3129842,0.03300011,0.053236477,0.11066797
joelle_fletcher,0.05281642,0.12041053,0.053452294,0.04554145,0.15764053,0.08329715,0.2594936,0.059406184,0.05482036,0.11312148
